,Unnamed: 0,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,type,dividend
71,71,590006,AMRUTANJAN,Amrutanjan Health Care Ltd-$,09 Feb 2010,Interim Dividend - Rs. - 5.0000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 5.0000
72,72,500103,BHEL,Bharat Heavy Electricals Ltd,09 Feb 2010,Interim Dividend - Rs. - 11.0000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 11.0000
73,73,532701,CELLA,Cella Space Ltd,09 Feb 2010,Interim Dividend - Rs. - 0.9000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 0.9000
74,74,524226,GAEL,Gujarat Ambuja Exports Ltd,09 Feb 2010,Interim Dividend - Rs. - 0.4000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 0.4000
75,75,505255,GMMPFAUDLR,GMM Pfaudler Ltd,09 Feb 2010,Interim Dividend - Rs. - 0.7000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 0.7000
76,76,501455,GREAVESCOT,Greaves Cotton Ltd,09 Feb 2010,Interim Dividend - Rs. - 1.5000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 1.5000
77,77,517354,HAVELLS,Havells India Ltd,09 Feb 2010,Interim Dividend - Rs. - 1.2500,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 1.2500
78,78,503101,MARATHON,Marathon Nextgen Realty Ltd,09 Feb 2010,Interim Dividend - Rs. - 1.5000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 1.5000
79,79,506579,OCCL,Oriental Carbon & Chemicals Ltd-$,09 Feb 2010,Interim Dividend - Rs. - 1.0000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 1.0000
80,80,513228,PENIND,Pennar Industries Ltd-$,09 Feb 2010,Interim Dividend - Rs. - 0.5000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 0.5000
81,81,590071,SUNDARMFIN,Sundaram Finance Ltd,09 Feb 2010,Interim Dividend - Rs. - 6.0000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 6.0000
82,82,500403,SUNDRMFAST,Sundram Fasteners Ltd,09 Feb 2010,Interim Dividend - Rs. - 0.4000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 0.4000
83,83,532509,SUPRAJIT,Suprajit Engineering Ltd-$,09 Feb 2010,Interim Dividend - Rs. - 2.2500,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 2.2500
84,84,514167,GANECOS,Ganesha Ecosphere Ltd,10 Feb 2010,Interim Dividend - Rs. - 0.5000,11 Feb 2010,-,-,04 Feb 2010,10 Feb 2010,-,Interim Dividend, 0.5000
85,85,530813,KRBL,KRBL Ltd,10 Feb 2010,Interim Dividend - Rs. - 0.1500,12 Feb 2010,-,-,05 Feb 2010,10 Feb 2010,-,Interim Dividend, 0.1500
86,86,526299,MPHASIS,Mphasis Ltd,10 Feb 2010,Dividend - Rs. - 3.5000,-,13 Feb 2010,24 Feb 2010,05 Feb 2010,10 Feb 2010,-,Dividend, 3.5000
87,87,533106,OIL,Oil India Ltd,10 Feb 2010,Interim Dividend - Rs. - 18.0000,11 Feb 2010,-,-,04 Feb 2010,10 Feb 2010,-,Interim Dividend, 18.0000
88,88,523023,SINCLAIR,Sinclairs Hotels Ltd-$,10 Feb 2010,Interim Dividend - Rs. - 2.5000,12 Feb 2010,-,-,10 Feb 2010,10 Feb 2010,-,Interim Dividend, 2.5000
89,89,500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,11 Feb 2010,Interim Dividend - Rs. - 1.0000,15 Feb 2010,-,-,05 Feb 2010,11 Feb 2010,-,Interim Dividend, 1.0000
90,90,509546,GRAVISSHO,Graviss Hospitality Ltd,11 Feb 2010,Interim Dividend - Rs. - 0.2400,15 Feb 2010,-,-,05 Feb 2010,11 Feb 2010,-,Interim Dividend, 0.2400
91,91,531814,TIRSARJ,Tirupati Sarjan Ltd,11 Feb 2010,Interim Dividend - Rs. - 0.6000,26 Feb 2010,-,-,11 Feb 2010,03 Mar 2010,-,Interim Dividend, 0.6000
92,92,590065,IMPAL,India Motor Parts & Accessories Ltd,15 Feb 2010,Interim Dividend - Rs. - 14.0000,16 Feb 2010,-,-,11 Feb 2010,15 Feb 2010,-,Interim Dividend, 14.0000
93,93,509243,TVSSRICHAK,TVS Srichakra Ltd-$,16 Feb 2010,Interim Dividend - Rs. - 10.0000,17 Feb 2010,-,-,09 Feb 2010,16 Feb 2010,-,Interim Dividend, 10.0000
94,94,532725,SOLARINDS,Solar Industries India Ltd,17 Feb 2010,Interim Dividend - Rs. - 3.5000,18 Feb 2010,-,-,10 Feb 2010,17 Feb 2010,-,Interim Dividend, 3.5000
95,95,512531,STCINDIA,State Trading Corporation of India Ltd,17 Feb 2010,Interim Dividend - Rs. - 2.5000,18 Feb 2010,-,-,10 Feb 2010,17 Feb 2010,-,Interim Dividend, 2.5000
96,96,532683,AIAENG,AIA Engineering Ltd,18 Feb 2010,Interim Dividend - Rs. - 0.8000,19 Feb 2010,-,-,11 Feb 2010,18 Feb 2010,-,Interim Dividend, 0.8000
97,97,500425,AMBUJACEM,Ambuja Cements Ltd,18 Feb 2010,Final Dividend - Rs. - 1.2000,-,20 Feb 2010,05 Mar 2010,15 Feb 2010,18 Feb 2010,-,Final Dividend, 1.2000
98,98,532992,CHLLTD,CHL Ltd,18 Feb 2010,Interim Dividend - Rs. - 1.5000,19 Feb 2010,-,-,11 Feb 2010,18 Feb 2010,-,Interim Dividend, 1.5000
99,99,531092,OMINFRAL,OM Infra Ltd,18 Feb 2010,Interim Dividend - Rs. - 0.2000,19 Feb 2010,-,-,11 Feb 2010,18 Feb 2010,-,Interim Dividend, 0.2000
100,100,507508,RIGASUG,Riga Sugar Company Ltd-$,19 Feb 2010,Dividend - Rs. - 1.0000,-,23 Feb 2010,25 Feb 2010,16 Feb 2010,22 Feb 2010,-,Dividend, 1.0000
101,101,506260,ANUHPHR,Anuh Pharma Ltd,22 Feb 2010,Interim Dividend - Rs. - 10.0000,23 Feb 2010,-,-,16 Feb 2010,22 Feb 2010,-,Interim Dividend, 10.0000
102,102,500870,CASTROLIND,Castrol India Ltd,22 Feb 2010,Final Dividend - Rs. - 15.0000,-,24 Feb 2010,26 Feb 2010,17 Feb 2010,23 Feb 2010,-,Final Dividend, 15.0000
103,103,530759,STERTOOLS,Sterling Tools Ltd-$,22 Feb 2010,Interim Dividend - Rs. - 3.0000,23 Feb 2010,-,-,16 Feb 2010,22 Feb 2010,-,Interim Dividend, 3.0000
104,104,500023,ASIANHOTNR,Asian Hotels (North) Ltd,24 Feb 2010,Dividend - Rs. - 1.0000,-,26 Feb 2010,19 Mar 2010,19 Feb 2010,25 Feb 2010,-,Dividend, 1.0000
105,105,500495,ESCORTS,Escorts Kubota Ltd,25 Feb 2010,Dividend - Rs. - 1.0000,-,01 Mar 2010,12 Mar 2010,22 Feb 2010,25 Feb 2010,-,Dividend, 1.0000
106,106,500290,MRF,MRF Ltd,25 Feb 2010,Dividend - Rs. - 19.0000,-,01 Mar 2010,11 Mar 2010,22 Feb 2010,25 Feb 2010,-,Dividend, 19.0000
107,107,500488,ABBOTINDIA,Abbott India Ltd,03 Mar 2010,Dividend - Rs. - 17.0000,-,05 Mar 2010,12 Mar 2010,25 Feb 2010,04 Mar 2010,-,Dividend, 17.0000
108,108,532610,DWARKESH,Dwarikesh Sugar Industries Ltd,03 Mar 2010,Dividend - Rs. - 1.5000,-,05 Mar 2010,16 Mar 2010,25 Feb 2010,04 Mar 2010,-,Dividend, 1.5000
109,109,590072,SUNDRMBRAK,Sundaram Brake Linings Ltd,03 Mar 2010,Interim Dividend - Rs. - 4.0000,04 Mar 2010,-,-,24 Feb 2010,03 Mar 2010,-,Interim Dividend, 4.0000
