Plus91_id,Trading Symbol,Security_id,Exchange,Segment,Exchange Token
10c3043a8439a6e189be1c7094d8a31f88d596b8cc7f9b0062ab6605c354fc8f,MOREALTY,NSE_EQ:23184,NSE,EQ,23184
a92b01334878fc5df2746d199d450e7a522a643afbb90b787e82298611f20f8a,HDFCMID150,NSE_EQ:14236,NSE,EQ,14236
d804b390a261fed73e490da2f6c42d3b7484aebb9caa0a42595e8a9c16d8fab5,EMSLIMITED,NSE_EQ:18593,NSE,EQ,18593
109350a69d07582d9ecafcbefa7f6315ccf44330905a98aa81bfe1d2a798f22c,ZAGGLE,NSE_EQ:18608,NSE,EQ,18608
de90f0aaad4c850e268802aec53e0d38d794f350e76f6b5fea2f3173a830c4bd,HDFCBSE500,NSE_EQ:14230,NSE,EQ,14230
218d7b8bcd9abfae151142fa495a9883c62011d1354d3cfac6939144c7961135,SBFC,NSE_EQ:18026,NSE,EQ,18026
5af8f7e28bda223e4c6d99b1e03d6400a572ffc40d78525bf5d43d10bcc4118a,VSTL,NSE_EQ:22730,NSE,EQ,22730
639fd779f608f4f3569b349bf2c8f8668811ec253410e75bccf872829d3af98e,ITETF,NSE_EQ:19633,NSE,EQ,19633
fe50ff408736e6d296d75d24ee57e1e36b66393361786b23e5a61e0f4bf9985d,LIQUIDSBI,NSE_EQ:19705,NSE,EQ,19705
d12de29e21c6e8cba356920be1bc580f579d210092ab75b45b19add25e4596f8,HDFCSML250,NSE_EQ:14233,NSE,EQ,14233
2641c5de10f5d64a10406c9b3e4534f65dc66870932d2e172ceac22c696f8c50,GREENCHEF,NSE_EQ:17092,NSE,EQ,17092
f8a0987b2aecec47fc5dd4244f430a57f83fad121027ca95ff1860c72d684f27,SRM,NSE_EQ:23403,NSE,EQ,23403
bbab8e465270df06e857de3e397f95b2e29c20db7098a9249ba8630c3cb303e7,LIQUIDADD,NSE_EQ:23407,NSE,EQ,23407
1925548208b561df714cfa2f8f0fd59710c7a26fe0562f661c358dc8f727b932,AKI,NSE_EQ:14895,NSE,EQ,14895
b437a3a21af70b6804dfc54fe49cb361845a7d46d900534915abab209b9d3bd1,MOTISONS,NSE_EQ:20788,NSE,EQ,20788
1d3c39e5dee35c87c08757cfca581124ef15b04990e1908991d569648ed3057c,MAXESTATES,NSE_EQ:19646,NSE,EQ,19646
cc712f87069226bd28364afb6e023a511e9d84c61b4621739ecb9882d4e5f200,IKIO,NSE_EQ:16822,NSE,EQ,16822
8288c19607c835c17bffde749867bdd9eaa9837a8752a3f2c8375f603f42f766,EPACK,NSE_EQ:22463,NSE,EQ,22463
4371d2aa0e6339c0d4ad5be67b4be819efdc5b07b855633a8b81ca1b73dfa2e2,YATHARTH,NSE_EQ:17738,NSE,EQ,17738
ef0cf7dcff2bb1d804b9b347c9a43a4d7031f53721f53044405b0631fd186992,SRGHFL,NSE_EQ:18119,NSE,EQ,18119
681a9936dbd97c8cf7d9863431b484062d4dbd2876bf689e611d3a2e6d37efe4,GSEC10IETF,NSE_EQ:13143,NSE,EQ,13143
277596e0eaf3b8da8f8782592a8f275af28edeb416ce122768af0d46a0f186ef,SAHYADRI,NSE_EQ:14900,NSE,EQ,14900
a46ad5bba1b9af7b40cd668b7556ba93914e903db29b536071d869e43ee4c706,JSWINFRA,NSE_EQ:19020,NSE,EQ,19020
95e70b506a6c3bec77a11ec5cba7a1572846d0671ad4037a712202249e502fea,VALIANTLAB,NSE_EQ:19218,NSE,EQ,19218
f44ebbd694558ab43ff0bd41608949742ea5da1e51a65fa6a5acab20104e093d,ASHOKAMET,NSE_EQ:16943,NSE,EQ,16943
24a3f866e120f75c95384e246d9e5f93560b46be816150e19ee0fc71ca6df611,AEROFLEX,NSE_EQ:18268,NSE,EQ,18268
7cf79d2f86c66c5754a9e84b51fb5bced5adb4e7bc20e80211492b68d82458f4,ANLON,NSE_EQ:13657,NSE,EQ,13657
4a752a2aa9a5da922d6d39c734b92457d58202a43b8dbcafdda0267a992215be,TECILCHEM,NSE_EQ:3453,NSE,EQ,3453
0a83f6936a5da3a99e555f80f67d8b37fed6ce515e4b6c034d327f6f5f8febb5,VLEGOV,NSE_EQ:18021,NSE,EQ,18021
07eee94d6762e83356e44e941d277ba19879f68a14d034489bcbd72d13d58412,IRMENERGY,NSE_EQ:19597,NSE,EQ,19597
2d82db91d91ddbabc1bcf2c53c17dad45ec6980d46f8f1a4a6db824139b66844,PSUBNKIETF,NSE_EQ:14584,NSE,EQ,14584
69fbfb0a84bb8444f0e0f985659201961892872bb1e31e16230657ef549a9bb2,ABSLLIQUID,NSE_EQ:14518,NSE,EQ,14518
08623e591dba9768001c78d7c4d82fb5b33c2bebac51c9662fef710eff7c9797,GOLDCASE,NSE_EQ:22901,NSE,EQ,22901
5192bb542411925b03339de6278dbbb3e8df7592f422ac6ee3e66fa37716cdd8,GANDHAR,NSE_EQ:20303,NSE,EQ,20303
6e1afa09725fc99f63ed6a86b8102cfaa231120bcc65c797d1ab011de6e4f749,PARKHOTELS,NSE_EQ:22649,NSE,EQ,22649
065e1eb0b53118ebedd496d902be310f5fd13e6368f3bd94135251018c0cbf59,AARTECH,NSE_EQ:17164,NSE,EQ,17164
17215535952f4b3d45c1dccb48aa638f68b63be0e7ccf74ae6bfc54e4c0c2f32,SAMHI,NSE_EQ:18614,NSE,EQ,18614
c469ceeb43a8546174f0aca264c3827efdac0d144d48d66ca24d4df1cc89b842,MAGSON,NSE_EQ:17091,NSE,EQ,17091
011dfbbad52c3b265c67a0a38390f9efce384d190fe149c2a086878cffc3450f,NIITMTS,NSE_EQ:17747,NSE,EQ,17747
7b2e3febf5e38d32c0fb2fa78d2d98892ab9c57f0ee6fe961ad214f1f621081c,SMALLCAP,NSE_EQ:22832,NSE,EQ,22832
da5246d8a7319a761bf60618f0e8b57dbf4603323dccc1e8c00c28a0e51ca1a7,NUVAMA,NSE_EQ:18721,NSE,EQ,18721
2d9da900a2d6f235d8ea37fbbf0d996eb58e2f8acbffded336beaa86c9182631,CYIENTDLM,NSE_EQ:17187,NSE,EQ,17187
f2d8c9c590b3c7839ff2b5dd6d3b89132e4d569a661a2f30cf6309ef34fb50b1,INDIASHLTR,NSE_EQ:20556,NSE,EQ,20556
