,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
15234,532983,RPGLIFE,RPG Life Sciences Ltd,24 Mar 2020,Interim Dividend - Rs. - 4.0000,26 Mar 2020,-,-,19 Mar 2020,25 Mar 2020,-
15235,539042,AGIIL,AGI Infra Ltd,26 Mar 2020,Interim Dividend - Rs. - 0.5000,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15236,540902,AMBER,Amber Enterprises India Ltd,26 Mar 2020,Interim Dividend - Rs. - 1.6000,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15237,542066,ATGL,Adani Total Gas Ltd,26 Mar 2020,Interim Dividend - Rs. - 0.2500,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15238,542057,BCPL,BCPL Railway Infrastructure Ltd,26 Mar 2020,Interim Dividend - Rs. - 0.4000,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15239,532210,CUB,City Union Bank Ltd,26 Mar 2020,Interim Dividend - Rs. - 0.5000,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15240,531162,EMAMILTD,Emami Ltd,26 Mar 2020,Interim Dividend - Rs. - 2.0000,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15241,531111,GOTHIPL,Gothi Plascon India Ltd,26 Mar 2020,Interim Dividend - Rs. - 1.0000,28 Mar 2020,-,-,24 Mar 2020,26 Mar 2020,-
15242,542011,GRSE,Garden Reach Shipbuilders & Engineers Ltd,26 Mar 2020,Interim Dividend - Rs. - 5.7400,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15243,540530,HUDCO,Housing & Urban Development Corporation Ltd,26 Mar 2020,Interim Dividend - Rs. - 0.7500,28 Mar 2020,-,-,20 Mar 2020,26 Mar 2020,-
15244,533519,LTF,L&T Finance Ltd,26 Mar 2020,Interim Dividend - Rs. - 0.9000,28 Mar 2020,-,-,20 Mar 2020,26 Mar 2020,-
15245,532555,NTPC,NTPC Ltd,26 Mar 2020,Interim Dividend - Rs. - 0.5000,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15246,530589,PRIMAPLA,Prima Plastics Ltd,26 Mar 2020,Interim Dividend - Rs. - 1.0000,28 Mar 2020,-,-,20 Mar 2020,26 Mar 2020,-
15247,539450,SHK,S H Kelkar and Company Ltd,26 Mar 2020,Interim Dividend - Rs. - 0.9500,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15248,532815,SMSPHARMA,SMS Pharmaceuticals Ltd,26 Mar 2020,Interim Dividend - Rs. - 0.2500,28 Mar 2020,-,-,20 Mar 2020,26 Mar 2020,-
15249,532733,SUNTV,Sun TV Network Ltd,26 Mar 2020,Interim Dividend - Rs. - 12.5000,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15250,532156,VAIBHAVGBL,Vaibhav Global Ltd,26 Mar 2020,Interim Dividend - Rs. - 19.7400,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15251,540980,YSL,The Yamuna Syndicate Ltd,26 Mar 2020,Interim Dividend - Rs. - 175.0000,27 Mar 2020,-,-,24 Mar 2020,26 Mar 2020,-
