Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
524520,KMCSHIL,KMC Speciality Hospitals (India) Ltd,06 Jan 2011,Right Issue of Equity Shares ,18 Jan 2011,-,-,06 Jan 2011,21 Jan 2011,-
590003,KARURVYSYA,Karur Vysya Bank Ltd,17 Feb 2011,Right Issue of Equity Shares ,18 Feb 2011,-,-,10 Feb 2011,17 Feb 2011,-
500840,EIHOTEL,EIH Ltd,21 Feb 2011,Right Issue of Equity Shares ,22 Feb 2011,-,-,14 Feb 2011,21 Feb 2011,-
532652,KTKBANK,Karnataka Bank Ltd,25 Feb 2011,Right Issue of Equity Shares ,28 Feb 2011,-,-,21 Feb 2011,25 Feb 2011,-
523550,KRYPTONQ,Krypton Industries Ltd,10 Mar 2011,Right Issue of Equity Shares ,11 Mar 2011,-,-,04 Mar 2011,10 Mar 2011,-
513629,TULSYAN,Tulsyan NEC Ltd,10 Mar 2011,Right Issue of Equity Shares ,12 Mar 2011,-,-,07 Mar 2011,10 Mar 2011,-
532885,CENTRALBK,Central Bank of India,17 Mar 2011,Right Issue of Equity Shares ,18 Mar 2011,-,-,11 Mar 2011,17 Mar 2011,-
531591,BAMPSL,Bampsl Securities Ltd,19 Apr 2011,Right Issue of Equity Shares ,20 Apr 2011,-,-,11 Apr 2011,19 Apr 2011,-
511766,MUTHOOTCAP,Muthoot Capital Services Ltd,24 May 2011,Right Issue of Equity Shares ,25 May 2011,-,-,18 May 2011,24 May 2011,-
520119,ASAL,Automotive Stampings and Assemblies Ltd,09 Jun 2011,Right Issue of Equity Shares ,10 Jun 2011,-,-,03 Jun 2011,09 Jun 2011,-
531144,ELFORGE,El Forge Ltd,29 Jun 2011,Right Issue of Equity Shares ,30 Jun 2011,-,-,23 Jun 2011,28 Jun 2011,-
532162,JKPAPER,JK Paper Ltd,26 Jul 2011,Right Issue of Equity Shares ,27 Jul 2011,-,-,20 Jul 2011,26 Jul 2011,-
526755,VELHO,Velan Hotels Ltd,08 Aug 2011,Right Issue of Equity Shares ,-,10 Aug 2011,12 Aug 2011,03 Aug 2011,09 Aug 2011,-
531795,ATULAUTO,Atul Auto Ltd,02 Sep 2011,Right Issue of Equity Shares ,05 Sep 2011,-,-,25 Aug 2011,02 Sep 2011,-
500032,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,21 Sep 2011,Right Issue of Equity Shares ,22 Sep 2011,-,-,15 Sep 2011,21 Sep 2011,-
505232,VELJAN,Veljan Denison Ltd,04 Oct 2011,Right Issue of Equity Shares ,05 Oct 2011,-,-,30 Sep 2011,04 Oct 2011,-
524412,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd,19 Jan 2012,Right Issue of Equity Shares ,20 Jan 2012,-,-,13 Jan 2012,19 Jan 2012,-
532767,GAYAPROJ,Gayatri Projects Ltd,22 Feb 2012,Right Issue of Equity Shares ,23 Feb 2012,-,-,15 Feb 2012,22 Feb 2012,-
533007,LGBFORGE,LGB Forge Ltd,20 Mar 2012,Right Issue of Equity Shares ,21 Mar 2012,-,-,14 Mar 2012,20 Mar 2012,-
524558,NEULANDLAB,Neuland Laboratories Ltd,21 Mar 2012,Right Issue of Equity Shares ,23 Mar 2012,-,-,16 Mar 2012,21 Mar 2012,-
506194,ARIHANTSUP,Arihant Superstructures Ltd,30 Apr 2012,Right Issue of Equity Shares ,02 May 2012,-,-,24 Apr 2012,30 Apr 2012,-
523754,MAHEPC,Mahindra EPC Irrigation Ltd,02 May 2012,Right Issue of Equity Shares ,03 May 2012,-,-,26 Apr 2012,02 May 2012,-
507813,NOL,National Oxygen Ltd,26 Jun 2012,Right Issue of Equity Shares ,27 Jun 2012,-,-,20 Jun 2012,26 Jun 2012,-
521113,SUDTIND-B,Suditi Industries Ltd,24 Jul 2012,Right Issue of Equity Shares ,25 Jul 2012,-,-,18 Jul 2012,24 Jul 2012,-
532872,SPARC,Sun Pharma Advanced Research Company Ltd,23 Aug 2012,Right Issue of Equity Shares ,-,25 Aug 2012,27 Aug 2012,17 Aug 2012,23 Aug 2012,-
532729,UTTAMSUGAR,Uttam Sugar Mills Ltd,05 Sep 2012,Right Issue of Equity Shares ,-,07 Sep 2012,07 Sep 2012,31 Aug 2012,05 Sep 2012,-
532978,BAJAJFINSV,Bajaj Finserv Ltd,06 Sep 2012,Right Issue of Equity Shares ,08 Sep 2012,-,-,03 Sep 2012,06 Sep 2012,-
523127,EIHAHOTELS,EIH Associated Hotels Ltd,11 Sep 2012,Right Issue of Equity Shares ,12 Sep 2012,-,-,06 Sep 2012,11 Sep 2012,-
532798,NETWORK18,Network 18 Media & Investments Ltd,11 Sep 2012,Right Issue of Equity Shares ,12 Sep 2012,-,-,06 Sep 2012,11 Sep 2012,-
532210,CUB,City Union Bank Ltd,22 Nov 2012,Right Issue of Equity Shares ,23 Nov 2012,-,-,16 Nov 2012,22 Nov 2012,-
